route_id,service_id,trip_id,shape_id 
4_ritorno,D,1470,4_ritorno 
4_ritorno,D,1471,4_ritorno 
4_ritorno,D,1472,4_ritorno 
4_ritorno,D,1473,4_ritorno 
4_ritorno,D,1474,4_ritorno 
4_ritorno,D,1475,4_ritorno 
4_ritorno,D,1476,4_ritorno 
4_ritorno,D,1477,4_ritorno 
4_ritorno,D,1478,4_ritorno 
4_ritorno,D,1479,4_ritorno 
4_ritorno,D,1480,4_ritorno 
4_ritorno,D,1481,4_ritorno 
4_ritorno,D,1482,4_ritorno 
4_ritorno,D,1483,4_ritorno 
4_ritorno,D,1484,4_ritorno 
4_ritorno,D,1485,4_ritorno 
4_ritorno,D,1486,4_ritorno 
4_ritorno,D,1487,4_ritorno 
4_ritorno,D,1488,4_ritorno 
4_ritorno,D,1489,4_ritorno 
4_ritorno,D,1490,4_ritorno 
5_andata,L_V,1491,5_andata 
5_andata,L_V,1492,5_andata 
5_andata,L_V,1493,5_andata 
5_andata,L_V,1494,5_andata 
5_andata,L_V,1495,5_andata 
5_andata,L_V,1496,5_andata 
5_andata,L_V,1497,5_andata 
5_andata,L_V,1498,5_andata 
5_andata,L_V,1499,5_andata 
5_andata,L_V,1500,5_andata 
5_andata,L_V,1501,5_andata 
5_andata,L_V,1502,5_andata 
5_andata,L_V,1503,5_andata 
5_andata,L_V,1504,5_andata 
5_andata,L_V,1505,5_andata 
5_andata,L_V,1506,5_andata 
5_andata,L_V,1507,5_andata 
5_andata,L_V,1508,5_andata 
5_andata,L_V,1509,5_andata 
5_andata,L_V,1510,5_andata 
5_andata,L_V,1511,5_andata 
5_andata,L_V,1512,5_andata 
5_andata,L_V,1513,5_andata 
5_andata,S,1514,5_andata 
5_andata,S,1515,5_andata 
5_andata,S,1516,5_andata 
5_andata,S,1517,5_andata 
5_andata,S,1518,5_andata 
5_andata,S,1519,5_andata 
5_andata,S,1520,5_andata 
5_andata,S,1521,5_andata 
5_andata,S,1522,5_andata 
5_andata,S,1523,5_andata 
5_andata,S,1524,5_andata 
5_andata,S,1525,5_andata 
5_andata,S,1526,5_andata 
5_andata,S,1527,5_andata 
5_andata,S,1528,5_andata 
5_andata,S,1529,5_andata 
5_andata,S,1530,5_andata 
5_andata,S,1531,5_andata 
5_andata,S,1532,5_andata 
